Check Name,Category,Source ID,Source Severity,Computer Name,Last Seen,State,Measured Values
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,dc04dx2202.internal.das,10-Mar-2026 07:38,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,va33fx3102.internal.das,10-Mar-2026 07:41,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,dc04px2502.internal.das,10-Mar-2026 07:53,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,va10dx1001v1.wellpoint.com,10-Mar-2026 08:00,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,va33fx1201v1.wellpoint.com,10-Mar-2026 07:37,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,va10px2005.wellpoint.com,10-Mar-2026 07:46,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,dc04dx24db04.internal.das,10-Mar-2026 07:59,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,dc04px2902.internal.das,10-Mar-2026 07:41,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,dc04px2103.internal.das,10-Mar-2026 07:57,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,dc04px23db01.internal.das,10-Mar-2026 07:50,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,va33fx2702.internal.das,10-Mar-2026 07:40,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,va10dx1001v2.wellpoint.com,10-Mar-2026 07:40,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,ch03fx0102.internal.das,10-Mar-2026 07:32,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,dc04px2501.internal.das,10-Mar-2026 07:59,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,va10px2006.wellpoint.com,10-Mar-2026 07:53,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,dc04px3201.internal.das,10-Mar-2026 07:51,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,dc04px2104.internal.das,10-Mar-2026 07:57,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,va33dx1303v1.wellpoint.com,10-Mar-2026 07:53,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,va10px0803v2.wellpoint.com,10-Mar-2026 07:32,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,va33fx1204v1.wellpoint.com,10-Mar-2026 07:57,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,va10px2001.wellpoint.com,10-Mar-2026 07:43,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,dc04px2503.internal.das,10-Mar-2026 07:30,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,dc04px3202.internal.das,10-Mar-2026 07:55,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
No anonymous user access: anon=-1,Operating System Services & Network Settings,05.70.00,MODERATE,dc04px3002.internal.das,10-Mar-2026 07:31,passed,No anonymous user access: : 05.70.00: /etc/exports exists but contains no configurations with anon=-1
